geoid,county.x,cox,moore,lashar,wallace,harding,sefcik,write_ins.x,county.y,hogan,jealous,quinn,schlakman,write_ins.y,cox_percent,hogan_percent
24001,Allegany,13833,6390,279,143,267,0,17,Allegany,19224,3985,166,139,16,66.09489225476611,81.69995750106247
24003,Anne Arundel,73775,88375,3554,988,1268,0,588,Anne Arundel,157202,69399,1366,1052,187,43.77091392363006,68.58546460389344
24510,Baltimore City,11387,112984,1282,1231,1443,0,246,Baltimore City,58360,123609,1055,1491,176,8.856447310088432,31.598724355815932
24005,Baltimore County,80759,136462,3993,1648,2409,0,702,Baltimore County,198122,122773,1633,1492,256,35.73834042120077,61.09672007795828
24009,Calvert,18447,14236,504,142,242,0,89,Calvert,29610,9216,303,130,25,54.80392156862746,75.37419814682823
24011,Caroline,6727,3276,176,56,140,0,21,Caroline,9489,1900,82,28,6,64.70757983839938,82.47718383311604
24013,Carroll,38969,25155,1515,436,561,0,301,Carroll,62445,11767,533,261,45,58.21742832812944,83.20342167326218
24015,Cecil,18159,8691,472,155,311,21,35,Cecil,27063,7354,353,154,15,65.2169228559115,77.45785511892154
24017,Charles,15096,33633,408,283,414,0,78,Charles,31756,32100,274,193,37,30.24523160762943,49.34120571783717
24019,Dorchester,6169,4341,139,69,157,0,19,Dorchester,9205,3043,72,39,8,56.62750137690472,74.43195601196734
24021,Frederick,44307,51423,1700,555,722,0,306,Frederick,72560,33355,746,499,59,44.748669366648826,67.67457260373628
24023,Garrett,8195,2402,194,52,138,0,15,Garrett,9472,1395,86,48,7,74.52710076391415,86.04651162790698
24025,Harford,51930,40837,2033,618,914,0,301,Harford,85259,24012,756,461,91,53.739405793052065,77.10234312120747
24027,Howard,33110,83690,2464,802,713,0,419,Howard,80574,61146,800,752,111,27.318932655654383,56.194946402293155
24029,Kent,3718,4256,106,56,93,0,10,Kent,6370,2222,43,57,2,45.12683578104139,73.26892109500805
24031,Montgomery,58701,227161,3443,2444,1677,0,768,Montgomery,180018,224029,1922,2110,349,19.953160159622563,44.075822421577364
24033,Prince George's,17937,179968,1081,1693,1984,0,314,Prince George's,89925,225889,1469,1423,279,8.836961823260763,28.19098076712071
24035,Queen Anne's,12840,8577,416,120,212,0,89,Queen Anne's,19503,3268,99,86,15,57.69749258560258,84.90270340864569
24037,Saint Mary's,20670,14365,720,263,361,0,86,Saint Mary's,30703,9084,410,170,27,56.68449197860963,76.00881319007775
24039,Somerset,3974,2254,67,46,81,0,6,Somerset,5203,2379,71,33,16,61.82327317983821,67.55388210854323
24041,Talbot,7497,7989,289,70,128,0,44,Talbot,14081,3957,79,66,7,46.80651807454579,77.41066520065971
24043,Washington,27571,17006,646,257,483,0,75,Washington,38765,10894,491,268,43,59.88748425213954,76.82170389013298
24045,Wicomico,14612,12213,388,171,358,0,46,Wicomico,22659,10426,284,141,24,52.58384914351518,67.57022723206299
24047,Worcester,13433,8550,273,121,161,0,31,Worcester,18076,5437,148,82,12,59.51969515707386,76.09345400968218
